PatientID,Diagnosis,Breed,Age,Sex,Neutered,WeightChange,Weight,Hospitalised,Vomiting,Diarrhoea,Hepatomegaly,ThinDrySkin,Alopecia,Pruritus,MuscleWastageWeakness,Lethargy,Panting,Neurological,Polydipsia,Polyuria,Polyphagia,IncreasedALKP,IncreasedATL_GGT_AST,Hypertensive,LowBloodSugar,Hypothyroid,CruciateSurgery
61,1,Jack Russell Terrier,13,F,False,No change,8.3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False
62,1,West Highland White Terrier,14,F,True,No change,10.7,False,False,True,True,False,True,False,False,True,True,False,True,True,False,,,False,False,False,True
63,1,Staffordshire Bull Terrier,10,M,True,No change,34.0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,False,False,False,False
64,1,Border Terrier,13,M,False,No change,,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,False
65,1,Yorkshire Terrier,10,M,False,No change,6.3,False,False,False,True,True,True,False,False,False,False,False,True,True,True,,,False,False,False,False
66,1,Jack Russell Terrier,13,F,True,No change,5.86,True,False,False,False,False,False,False,False,False,False,False,True,True,True,,,False,False,False,False
67,1,Crossbreed,11,M,False,No change,10.7,True,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
68,1,Staffordshire Bull Terrier,8,M,True,No change,29.4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
69,1,Border Terrier,8,F,True,Weight loss,10.2,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False
70,1,Crossbreed,13,M,False,No change,24.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
71,1,West Highland White Terrier,10,F,True,No change,7.9,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False
72,1,Yorkshire Terrier,12,F,True,No change,13.85,False,False,False,True,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False
73,1,Crossbreed,9,M,False,No change,23.7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
74,1,Crossbreed,12,F,True,No change,19.8,True,False,True,False,False,False,False,False,False,False,False,True,True,True,,,False,False,False,False
75,1,Boxer,8,M,True,No change,39.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
76,1,Crossbreed,11,M,True,Weight loss,9.0,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,,False,False,False,False
77,1,Crossbreed,12,M,False,No change,10.7,False,False,False,True,False,True,False,True,True,False,False,False,False,True,,,False,False,False,False
78,1,Others,8,F,True,No change,40.45,False,False,False,True,False,True,False,False,False,False,False,False,False,False,,,False,False,False,False
79,1,Staffordshire Bull Terrier,8,M,True,Weight loss,,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False
80,1,Crossbreed,12,F,True,No change,15.7,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
81,1,Jack Russell Terrier,13,M,True,No change,9.3,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
82,1,Poodle,14,F,True,No change,6.2,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False
83,1,Crossbreed,8,F,False,No change,11.9,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,,False,False,False,False
84,1,Border Terrier,15,F,True,No change,11.3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,,,False,True,False,False
85,1,Cavalier King Charles Spaniel,12,M,False,No change,10.35,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,True,False,False,False,False
86,1,Others,10,F,True,No change,12.9,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
87,1,Crossbreed,16,M,False,No change,11.1,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
88,1,Jack Russell Terrier,9,F,True,No change,10.4,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False
89,1,Others,8,M,True,No change,,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False
90,1,Collie,11,M,True,No change,27.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
91,1,Crossbreed,9,F,False,Weight gain,12.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,,False,False,False,False
92,1,Crossbreed,8,F,True,Weight gain,38.4,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False
93,1,Jack Russell Terrier,12,F,True,No change,,False,False,False,True,False,False,False,True,True,True,True,True,True,False,,,False,False,False,False
94,1,Staffordshire Bull Terrier,13,F,True,Weight loss,16.15,False,False,False,False,True,True,False,True,False,False,False,False,False,False,,,False,False,False,False
95,1,Crossbreed,9,F,True,Weight gain,44.8,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
96,1,Others,15,F,True,No change,7.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
97,1,Bichon Frise,11,M,True,No change,9.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
98,1,Others,12,F,True,No change,4.8,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False
99,1,Crossbreed,9,M,False,No change,19.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
100,1,Poodle,11,F,True,No change,12.8,False,False,False,True,False,True,False,False,False,False,False,False,False,False,,,False,False,False,False
101,1,Others,12,M,True,No change,15.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
102,1,Crossbreed,11,F,True,No change,11.75,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
103,1,Poodle,14,F,True,No change,22.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
104,1,Crossbreed,6,F,True,No change,8.2,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False
105,1,Bichon Frise,10,F,True,No change,8.2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
106,1,Others,8,F,True,Weight loss,8.9,False,False,False,False,True,True,False,False,True,False,False,False,False,False,,,False,False,False,False
107,1,Crossbreed,15,F,True,No change,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False
108,1,Others,13,M,False,No change,13.5,False,False,False,True,False,False,False,True,False,True,False,True,True,False,,,False,False,False,False
109,1,Jack Russell Terrier,13,M,True,No change,,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
110,1,Cocker Spaniel,11,M,True,No change,15.2,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False
111,1,Crossbreed,12,F,True,No change,10.3,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
112,1,Staffordshire Bull Terrier,14,F,False,No change,22.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
113,1,Yorkshire Terrier,13,F,True,No change,3.85,False,False,True,True,False,True,False,False,False,True,False,False,False,False,,,False,False,False,False
114,1,Border Terrier,8,F,False,No change,10.1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
115,1,West Highland White Terrier,12,F,True,No change,7.5,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
116,1,Crossbreed,7,F,True,No change,12.2,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
117,1,Jack Russell Terrier,12,M,True,Weight gain,,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
118,1,Yorkshire Terrier,8,F,False,No change,5.68,False,False,False,True,True,True,False,False,False,False,False,True,False,True,,,False,False,False,False
119,1,Bichon Frise,9,F,True,No change,10.1,False,False,False,True,False,False,False,False,False,False,False,True,False,True,,,False,False,False,False
120,1,Bichon Frise,8,M,True,No change,13.6,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
121,1,Staffordshire Bull Terrier,13,F,True,No change,,True,False,False,True,False,False,False,True,True,True,False,True,True,False,,,False,True,False,False
122,1,Labrador Retriever,11,M,True,No change,37.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
123,1,Bichon Frise,10,M,False,No change,11.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
124,1,Crossbreed,13,F,True,Weight loss,6.9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
125,1,Others,3,M,False,Weight gain,6.8,False,False,False,True,False,True,False,False,True,False,False,False,False,False,,,False,False,False,False
126,1,Springer Spaniel,8,F,True,Weight gain,25.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False
127,1,Others,14,F,False,No change,10.5,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
128,1,Crossbreed,13,F,True,No change,19.6,False,False,False,True,True,False,False,False,False,True,False,True,True,True,,,False,False,True,False
129,1,Others,12,M,True,Weight gain,7.8,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,,False,False,False,False
130,1,Staffordshire Bull Terrier,11,M,False,Weight loss,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False
131,1,Staffordshire Bull Terrier,10,F,True,No change,23.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
132,1,Others,11,F,True,Weight gain,10.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
133,1,Border Terrier,8,F,True,No change,10.5,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False
134,1,West Highland White Terrier,12,F,False,No change,8.86,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,False
135,1,Others,11,M,False,No change,15.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False
136,1,Staffordshire Bull Terrier,12,M,True,No change,,False,False,False,True,True,True,False,False,False,False,False,True,True,False,,,False,False,False,False
137,1,Bichon Frise,7,F,False,No change,5.9,False,False,False,True,True,True,False,True,False,False,False,True,True,True,,,False,False,False,False
138,1,Shih Tzu,14,M,True,No change,,False,False,False,True,False,False,False,True,False,True,False,True,True,True,,,False,False,False,False
139,1,Crossbreed,11,F,True,No change,,False,True,False,True,True,True,False,False,True,False,False,True,True,False,,,False,False,False,False
140,1,Crossbreed,11,M,True,Weight gain,,False,False,False,True,False,False,False,False,False,True,False,True,True,False,,,False,False,False,False
141,1,Bichon Frise,15,M,True,No change,,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
142,1,Crossbreed,15,M,True,Weight gain,10.8,False,False,False,False,True,False,False,True,True,False,True,False,False,True,,,False,False,False,False
143,1,Border Terrier,11,F,False,No change,10.2,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
144,1,Crossbreed,14,F,True,No change,13.2,False,False,False,False,False,True,False,False,False,True,False,True,True,False,,,False,False,False,False
145,1,Others,11,F,False,No change,40.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
146,1,Others,9,F,False,No change,6.9,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
147,1,Border Terrier,7,F,True,No change,11.9,False,False,False,True,True,True,True,False,False,False,False,True,False,False,,,False,False,False,False
148,1,Schnauzer,11,M,True,Weight gain,,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False
149,1,Jack Russell Terrier,14,M,True,No change,11.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
150,1,Others,14,M,True,No change,10.7,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False
151,1,Crossbreed,9,M,True,No change,13.3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
152,1,Others,14,F,True,No change,23.35,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False
153,1,Border Terrier,13,M,True,Weight loss,12.8,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False
154,1,Others,12,F,True,No change,29.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
155,1,Others,9,M,False,Weight loss,7.8,False,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,False,False,False
156,1,Others,10,M,False,No change,29.1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
157,1,Staffordshire Bull Terrier,9,F,False,No change,20.1,False,False,True,True,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False
158,1,Crossbreed,7,F,False,No change,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
159,1,Yorkshire Terrier,14,F,True,No change,3.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
160,1,Others,6,F,False,No change,,False,False,False,False,True,True,False,False,False,False,False,True,True,False,,,False,False,False,False
161,1,Jack Russell Terrier,9,F,True,No change,12.2,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
162,1,Collie,10,M,True,No change,,True,True,False,True,True,False,False,True,True,False,False,True,True,False,,,False,False,False,False
163,1,Border Terrier,10,F,False,No change,8.9,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,,False,False,False,False
164,1,Crossbreed,10,F,True,No change,26.8,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False
165,1,Bichon Frise,10,M,True,Weight gain,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,False,False,False,False
166,1,Springer Spaniel,13,F,True,No change,33.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
167,1,Others,13,M,True,No change,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,,False,False,False,False
168,1,Collie,14,F,False,No change,24.0,False,False,False,False,True,True,False,True,True,False,False,True,True,False,,,False,False,False,False
169,1,Jack Russell Terrier,9,M,False,No change,10.0,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False
170,1,Staffordshire Bull Terrier,10,F,True,Weight gain,28.7,False,False,False,True,False,True,True,True,False,False,False,True,True,True,,,False,False,False,False
171,1,Bichon Frise,12,F,True,No change,6.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False
172,1,Boxer,13,F,True,No change,29.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
173,1,Crossbreed,7,F,False,No change,9.7,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False
174,1,Schnauzer,11,F,True,No change,11.04,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,False
175,1,Others,13,F,False,No change,24.0,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False
176,1,Crossbreed,10,M,True,No change,31.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False,False,False,False
177,1,Others,13,F,True,No change,7.2,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
178,1,Cocker Spaniel,9,F,True,Weight gain,21.2,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False
179,1,Jack Russell Terrier,7,M,True,No change,10.35,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False
180,1,Bichon Frise,9,M,False,Weight loss,8.1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
181,1,Others,13,F,True,No change,26.0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
182,1,Crossbreed,11,M,True,No change,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,,,False,False,False,False
183,1,Crossbreed,12,F,True,No change,22.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
184,1,Shih Tzu,9,M,True,No change,12.3,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
185,1,Crossbreed,9,M,True,No change,9.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
186,1,Cavalier King Charles Spaniel,10,M,False,No change,13.0,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False
187,1,Others,8,M,True,No change,13.2,False,False,False,True,False,True,False,True,False,False,False,True,True,True,,,False,False,False,False
188,1,Jack Russell Terrier,8,M,True,No change,10.2,False,False,False,True,False,False,False,False,False,True,False,True,True,False,,,False,False,False,False
189,1,Others,12,F,True,No change,9.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
190,1,Others,11,M,False,No change,8.8,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,True,False,False,False,False
191,1,Jack Russell Terrier,13,F,False,No change,7.45,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
192,1,Crossbreed,7,F,True,No change,9.7,False,False,False,True,False,True,False,False,False,False,False,True,True,False,,,False,False,False,False
193,1,Crossbreed,3,F,False,No change,7.7,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,,False,False,False,False
194,1,Bichon Frise,13,F,True,No change,7.05,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
195,1,Crossbreed,13,F,True,No change,20.7,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,False,False,False
196,1,Others,8,M,True,No change,39.9,False,False,False,False,False,False,False,False,True,False,False,True,True,False,,,False,False,True,False
197,1,Others,9,M,True,No change,14.4,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
198,1,Jack Russell Terrier,10,M,True,No change,5.7,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False
199,1,Yorkshire Terrier,12,F,True,No change,5.45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
200,1,Staffordshire Bull Terrier,5,M,True,No change,19.5,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,,False,False,False,True
201,1,Shih Tzu,13,M,False,No change,13.1,False,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False
202,1,Crossbreed,11,M,True,No change,10.6,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,,False,False,False,False
203,1,Others,4,M,True,No change,42.95,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
204,1,Border Terrier,9,M,False,No change,11.15,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,,False,False,False,False
205,1,Border Terrier,10,F,True,No change,12.5,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
206,1,Cavalier King Charles Spaniel,8,F,True,No change,9.4,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False
207,1,Labrador Retriever,9,F,False,Weight loss,20.1,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False
208,1,Jack Russell Terrier,15,F,True,No change,7.45,False,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False
209,1,Crossbreed,10,M,True,No change,25.5,False,False,False,False,True,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False
210,1,Yorkshire Terrier,12,M,False,No change,5.5,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
211,1,Shih Tzu,7,M,False,No change,10.9,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,,False,False,False,False
212,1,Crossbreed,16,F,False,No change,15.0,False,False,False,False,False,True,False,False,False,True,False,True,True,False,,True,False,False,False,False
