PatientID,BirthDate,IsNeutered,SexSource,BreedVeNomID,SourceBreed,Case_1,Date first suspected_2,Date confirmed_3,Date ruled out_4,Weight at suspected,Polydipsia mentioned_5,Polyuria mentioned_6,Polyphagia_7,Vomiting_8,Diarrhoea_9,Potbelly/hepatomegaly_10,Weight_11,Thin/dry skin_12,Alopecia_13,Pruritus_14,Muscle wastage/weakness_15,Lethargy_16,Panting_17,Neurological signs_18,Increased ALKP_19,Increased ALT/GGT/AST_20,USG <1.20_21,Proteinuria_22,Heart rate_23,Temperature_24,ALKP level_28,USG level_29,Hospitalised,Hypertensive,Insulin,Hypothyroid,Cruciate
21,26/04/2005 0:00,TRUE,Male - Neutered,14074,Basset Griffon Vendeen Grand,1,18/01/2016 0:00,28/01/2016 0:00,,17,Yes,Yes,No,No,No,No,Weight loss,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,120,38.5,6782,1.006,No,No,No,No,No
22,8/01/2003 0:00,TRUE,Male      ,15009,Jack Russell Terrier,1,8/01/2016 0:00,28/01/2016 0:00,,8.82,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,38.2,,,No,No,No,No,No
23,28/03/2002 0:00,TRUE,Male      ,15086,West Highland White Terrier,1,26/01/2016 0:00,29/01/2016 0:00,,10.3,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Unknown,Yes,,,992,,No,No,No,No,No
24,26/10/2008 0:00,FALSE,Male      ,15076,Staffordshire Bull Terrier,1,28/01/2016 0:00,30/01/2016 0:00,,31.8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Unknown,Unknown,Unknown,,,1776,,No,No,No,No,No
25,1/03/2002 0:00,FALSE,Female    ,,Crossbreed,1,25/01/2016 0:00,1/02/2016 0:00,,8.8,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,,,Yes,No,Yes,No,No
26,24/03/2009 0:00,TRUE,Male - Neutered,14844,Cavalier King Charles Spaniel,1,9/01/2016 0:00,1/02/2016 0:00,,10.8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,Yes,Yes,No,No,No
27,22/04/2011 0:00,FALSE,Female    ,18063,Crossbreed,1,4/06/2015 23:00,2/02/2016 0:00,,21.3,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
28,25/08/2002 0:00,FALSE,Male      ,14962,Border Terrier,1,4/11/2015 0:00,4/02/2016 0:00,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
29,11/12/2001 0:00,TRUE,Female    ,Crossbreed,Crossbreed,1,30/01/2016 0:00,4/02/2016 0:00,,7.5,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Unknown,Unknown,,,,,No,No,No,No,No
30,5/08/2004 0:00,TRUE,Male      ,15009,Jack Russell Terrier,1,19/01/2016 0:00,4/02/2016 0:00,,9.57,No,No,No,No,No,Yes,Weight gain,Yes,Yes,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
31,12/11/2011 0:00,TRUE,Male      ,15087,Yorkshire Terrier,1,13/01/2016 0:00,5/02/2016 0:00,,10.4,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Unknown,Unknown,Yes,,,,,No,No,No,No,No
32,20/01/2010 0:00,TRUE,Male      ,15086,West Highland White Terrier,1,4/02/2016 0:00,5/02/2016 0:00,,11.6,Yes,No,Yes,No,No,No,Weight loss,No,No,No,No,No,No,No,Yes,No,Unknown,Unknown,,,899,,No,No,No,No,No
33,12/07/2007 0:00,TRUE,Male - Neutered,14962,Border Terrier,1,27/01/2016 0:00,8/02/2016 0:00,,14.05,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
34,1/08/2003 0:00,FALSE,Female    ,14884,Springer Spaniel,1,1/02/2016 0:00,8/02/2016 0:00,,20.7,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
35,1/11/2007 0:00,TRUE,Male      ,14962,Border Terrier,1,5/02/2016 0:00,10/02/2016 0:00,,12,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Unknown,Unknown,100,,,,No,No,No,No,No
36,27/02/2005 0:00,TRUE,Male - Neutered,13714,Bichon Frise,1,3/02/2016 0:00,11/02/2016 0:00,,10,Yes,Yes,Yes,No,No,Yes,Weight gain,No,No,No,No,No,Yes,No,Unknown,Unknown,Yes,Yes,,,,1.011,Yes,No,No,No,Yes
37,24/01/2007 0:00,TRUE,Male - Neutered,14609,Golden Retriever,1,4/02/2016 0:00,11/02/2016 0:00,,57.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,Yes,No
38,3/08/2003 0:00,FALSE,Female    ,15087,Yorkshire Terrier,1,11/02/2016 0:00,16/02/2016 0:00,,6.5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
39,1/05/2005 0:00,TRUE,Female    ,15087,Yorkshire Terrier,1,12/02/2016 0:00,17/02/2016 0:00,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
40,23/07/2005 0:00,TRUE,Male - Neutered,14833,Shih Tzu,1,26/01/2016 0:00,18/02/2016 0:00,,10.1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,,,,,Yes,No,No,No,No
41,9/07/2009 0:00,FALSE,Male      ,13724,Boxer,1,15/02/2016 0:00,18/02/2016 0:00,,,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Unknown,Unknown,120,,1617,,No,No,No,No,No
42,11/09/2004 0:00,TRUE,Female - Neutered,14962,Border Terrier,1,4/12/2015 0:00,20/02/2016 0:00,,9.9,Yes,Yes,Yes,No,No,No,Weight loss,No,No,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,,,,Yes,No,Yes,No,No
43,8/02/2006 0:00,FALSE,Male      ,,Akita Inu,1,12/02/2016 0:00,20/02/2016 0:00,,48.7,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,2000,1.005,No,No,No,No,No
44,29/06/2004 0:00,TRUE,Female    ,15087,Yorkshire Terrier,1,18/02/2016 0:00,22/02/2016 0:00,,8.6,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Unknown,Yes,,,,,No,No,No,No,No
45,6/11/2002 0:00,TRUE,Female - Neutered,14846,Cocker Spaniel,1,18/01/2016 0:00,22/02/2016 0:00,,20,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,38.3,,1.014,Yes,No,No,No,No
46,28/02/2002 0:00,TRUE,Female - Neutered,15009,Jack Russell Terrier,1,19/02/2016 0:00,22/02/2016 0:00,,6.15,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
47,10/07/2004 0:00,FALSE,Female    ,14844,Cavalier King Charles Spaniel,1,17/02/2016 0:00,24/02/2016 0:00,,11.9,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,160,38.6,713,1.009,No,No,No,No,No
48,23/09/2004 0:00,TRUE,Female - Neutered,15009,Jack Russell Terrier,1,6/02/2016 0:00,26/02/2016 0:00,,8,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,80,,1300,1.008,No,No,No,No,No
49,9/10/2005 0:00,FALSE,Male      ,15009,Jack Russell Terrier,1,19/02/2016 0:00,29/02/2016 0:00,,16.2,Yes,Yes,No,No,No,Yes,Weight gain,Yes,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,1289,,No,No,No,Yes,No
50,5/10/2003 0:00,TRUE,Female - Neutered,14884,Springer Spaniel,1,18/02/2016 0:00,1/03/2016 0:00,,20.7,Yes,Yes,Yes,No,No,Yes,Weight loss,No,Yes,No,No,No,No,No,Yes,Unknown,Yes,Yes,,,250,1.018,No,No,No,No,No
51,3/03/2003 0:00,TRUE,Female    ,15009,Jack Russell Terrier,1,24/02/2016 0:00,2/03/2016 0:00,,4.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
52,1/05/2003 0:00,FALSE,Female    ,14672,Schnauzer,1,1/03/2016 0:00,2/03/2016 0:00,,13,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
53,12/07/2001 0:00,TRUE,Female - Neutered,14833,Shih Tzu,1,29/02/2016 0:00,3/03/2016 0:00,,5.72,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,,4146,,No,No,No,No,No
54,1/09/2005 0:00,TRUE,Male      ,14833,Shih Tzu,1,27/02/2016 0:00,4/03/2016 0:00,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,88,,,,No,No,No,No,No
55,13/04/2004 0:00,TRUE,Female - Neutered,15086,West Highland White Terrier,1,26/02/2016 0:00,7/03/2016 0:00,,8.45,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Unknown,Unknown,,,2427,,No,No,No,No,No
56,29/04/2007 0:00,TRUE,Female    ,13714,Bichon Frise,1,2/03/2016 0:00,8/03/2016 0:00,,9.98,No,No,Yes,No,No,No,Weight gain,Yes,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,80,,,,No,No,No,No,No
57,28/09/2005 0:00,FALSE,Female    ,Crossbreed,Crossbreed,1,24/02/2016 0:00,8/03/2016 0:00,,3.5,Yes,No,No,No,No,No,Weight loss,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,173,,No,No,No,No,No
58,25/02/2007 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,1/03/2016 0:00,9/03/2016 0:00,,23.5,Yes,Yes,No,No,No,Yes,No change,No,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
59,27/05/2003 0:00,TRUE,Female    ,15126,Corgi,1,7/03/2016 0:00,10/03/2016 0:00,,12.5,Yes,Yes,No,No,No,No,Weight loss,No,No,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,110,,,,No,No,No,No,No
60,16/04/2004 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,22/02/2016 0:00,10/03/2016 0:00,,10.05,No,Yes,Yes,No,No,No,Weight gain,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,100,,3722,1.011,No,No,No,No,No
61,12/10/2002 0:00,FALSE,Female    ,15009,Jack Russell Terrier,1,9/03/2016 0:00,11/03/2016 0:00,,8.3,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
62,6/12/2002 0:00,TRUE,Female - Neutered,15086,West Highland White Terrier,1,9/03/2016 0:00,12/03/2016 0:00,,10.7,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Unknown,Unknown,Yes,No,112,38.2,,1.008,No,No,No,No,Yes
63,1/06/2006 0:00,TRUE,Male      ,15076,Staffordshire Bull Terrier,1,2/03/2016 0:00,15/03/2016 0:00,,34,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Unknown,Unknown,No,Yes,,,,1.025,No,No,No,No,No
64,20/04/2003 0:00,FALSE,Male      ,14962,Border Terrier,1,5/03/2016 0:00,16/03/2016 0:00,,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Unknown,Yes,No,120,,,1.01,No,No,No,No,No
65,17/11/2005 0:00,FALSE,Male      ,15087,Yorkshire Terrier,1,8/03/2016 0:00,16/03/2016 0:00,,6.3,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,120,,,,No,No,No,No,No
66,8/07/2003 0:00,TRUE,Female - Neutered,15009,Jack Russell Terrier,1,8/03/2016 0:00,18/03/2016 0:00,,5.86,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,88,36.5,,,Yes,No,No,No,No
67,6/01/2004 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,13/02/2016 0:00,18/03/2016 0:00,,10.7,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.01,Yes,No,No,No,No
68,21/08/2007 0:00,TRUE,Male      ,15076,Staffordshire Bull Terrier,1,18/11/2015 0:00,18/03/2016 0:00,,29.4,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,92,39.7,,,No,No,No,No,No
69,7/07/2007 0:00,TRUE,Female    ,14962,Border Terrier,1,18/03/2016 0:00,19/03/2016 0:00,,10.2,Yes,Yes,No,No,No,No,Weight loss,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,,38.6,,1.005,No,No,No,No,No
70,8/02/2002 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,18/03/2016 0:00,22/03/2016 0:00,,24.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,,,1.022,No,No,No,No,No
71,30/09/2005 0:00,TRUE,Female    ,15086,West Highland White Terrier,1,27/02/2016 0:00,22/03/2016 0:00,,7.9,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
72,1/11/2004 0:00,TRUE,Female - Neutered,15087,Yorkshire Terrier,1,14/01/2016 0:00,23/03/2016 0:00,,13.85,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
73,15/08/2006 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,21/03/2016 0:00,24/03/2016 0:00,,23.7,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,54,,2000,1.01,No,No,No,No,No
74,3/07/2003 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,22/02/2016 0:00,24/03/2016 0:00,,19.8,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,No,,,,1.01,Yes,No,No,No,No
75,14/08/2007 0:00,TRUE,Male      ,13724,Boxer,1,22/03/2016 0:00,24/03/2016 0:00,,39.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
76,6/09/2004 0:00,TRUE,Male - Neutered,Crossbreed,Crossbreed,1,1/02/2016 0:00,28/03/2016 23:00,,9,Yes,Yes,No,No,No,No,Weight loss,No,No,No,No,No,Yes,No,Yes,Unknown,No,Yes,,,,1.04,No,No,No,No,No
77,31/08/2003 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,28/03/2016 23:00,28/03/2016 23:00,,10.7,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Unknown,Unknown,No,Yes,,,,1.025,No,No,No,No,No
78,26/07/2007 0:00,TRUE,Female - Neutered,19077,Dogue de Bordeaux,1,18/03/2016 0:00,31/03/2016 23:00,,40.45,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,80,,,,No,No,No,No,No
79,13/03/2008 0:00,TRUE,Male      ,15076,Staffordshire Bull Terrier,1,26/03/2016 0:00,1/04/2016 23:00,,,Yes,Yes,No,No,No,Yes,Weight loss,Yes,No,No,Yes,No,No,No,Yes,No,No,No,,,305,1.022,No,No,No,No,No
80,30/01/2004 0:00,TRUE,Female    ,Crossbreed,Crossbreed,1,29/03/2016 23:00,4/04/2016 23:00,,15.7,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,No,,,,1.013,No,No,No,No,No
81,13/09/2002 0:00,TRUE,Male      ,15009,Jack Russell Terrier,1,31/03/2016 23:00,5/04/2016 23:00,,9.3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.012,No,No,No,No,No
82,1/03/2002 0:00,TRUE,Female - Neutered,14593,Poodle,1,1/02/2016 0:00,5/04/2016 23:00,,6.2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,,460,,Yes,No,No,Yes,No
83,3/01/2008 0:00,FALSE,Female    ,13878,Crossbreed,1,23/03/2016 0:00,5/04/2016 23:00,,11.9,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Unknown,Unknown,Unknown,,,,,Yes,No,No,No,No
84,5/12/2000 0:00,TRUE,Female - Neutered,14962,Border Terrier,1,28/03/2016 23:00,7/04/2016 23:00,,11.3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Unknown,Unknown,Yes,Yes,120,38.3,,1.01,Yes,No,Yes,No,No
85,1/03/2004 0:00,FALSE,Male      ,14844,Cavalier King Charles Spaniel,1,23/03/2016 0:00,10/04/2016 23:00,,10.35,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,No,,38.7,,1.01,No,No,No,No,No
86,28/03/2006 0:00,TRUE,Female    ,13683,Beagle,1,4/04/2016 23:00,12/04/2016 23:00,,12.9,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,1.011,No,No,No,No,No
87,4/04/2000 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,4/04/2016 23:00,13/04/2016 23:00,,11.1,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,120,38.7,,,No,No,No,No,No
88,13/03/2007 0:00,TRUE,Female    ,15009,Jack Russell Terrier,1,4/04/2016 23:00,15/04/2016 23:00,,10.4,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
89,6/04/2008 13:04,TRUE,Male      ,14523,Dobermann,1,7/04/2016 23:00,17/04/2016 23:00,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,120,38.6,1134,1.009,No,No,No,No,No
90,27/04/2005 0:00,TRUE,Male      ,13883,Collie,1,12/04/2016 23:00,17/04/2016 23:00,,27.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
91,26/04/2006 0:00,FALSE,Female    ,Crossbreed,Crossbreed,1,30/01/2016 0:00,18/04/2016 23:00,,12.1,No,No,No,No,No,Yes,Weight gain,Yes,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
92,14/03/2008 0:00,TRUE,Female    ,14366,Crossbreed,1,16/03/2016 0:00,18/04/2016 23:00,,38.4,Yes,Yes,No,No,Yes,Yes,Weight gain,No,Yes,No,No,No,No,No,Yes,Yes,Unknown,Unknown,80,39,,,No,No,No,No,No
93,9/11/2003 0:00,TRUE,Female    ,15009,Jack Russell Terrier,1,24/03/2016 0:00,19/04/2016 23:00,,,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,110,,,,No,No,No,No,No
94,25/06/2003 0:00,TRUE,Female    ,15076,Staffordshire Bull Terrier,1,9/03/2016 0:00,20/04/2016 23:00,,16.15,No,No,No,No,No,No,Weight loss,Yes,Yes,No,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,,38.2,,,No,No,No,No,No
95,13/02/2007 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,7/04/2016 23:00,21/04/2016 23:00,,44.8,Yes,Yes,Yes,No,No,Yes,Weight gain,Yes,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,314,,No,No,No,No,No
96,1/07/2001 0:00,TRUE,Female    ,,Dachshund,1,7/02/2016 0:00,23/04/2016 23:00,,7.2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,38.2,331,1.02,No,No,No,No,No
97,6/04/2005 0:00,TRUE,Male      ,13714,Bichon Frise,1,12/04/2016 23:00,24/04/2016 23:00,,9.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
98,9/08/2003 0:00,TRUE,Female    ,14887,Tibetan Spaniel,1,20/04/2016 23:00,25/04/2016 23:00,,4.8,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,100,,1183,1.014,No,No,No,No,No
